asin,title,author,category_name,numRatings,rating
gr_3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré","Fantasy, Fiction, Young Adult, Magic, Childrens",7048471,4.47
gr_2767052-the-hunger-games,The Hunger Games,Suzanne Collins,"Young Adult, Fiction, Dystopia, Fantasy, Science Fiction",6376780,4.33
gr_41865.Twilight,Twilight,Stephenie Meyer,"Young Adult, Fantasy, Romance, Vampires, Fiction",4964519,3.6
gr_2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,Harper Lee,"Classics, Fiction, Historical Fiction, School, Literature",4501075,4.28
gr_4671.The_Great_Gatsby,The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald","Classics, Fiction, School, Literature, Historical Fiction",3775504,3.92
gr_11870085-the-fault-in-our-stars,The Fault in Our Stars,John Green,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction",3550714,4.21
gr_1885.Pride_and_Prejudice,Pride and Prejudice,"Jane Austen, Anna Quindlen","Classics, Fiction, Romance, Historical Fiction, Literature",2998241,4.26
gr_13335037-divergent,Divergent,Veronica Roth,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction",2906258,4.19
gr_5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Young Adult",2896265,4.27
gr_5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré","Fantasy, Young Adult, Fiction, Magic, Childrens",2806471,4.57
gr_48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, 郭清玲, Barbara Mooyaart-Doubleday","Nonfiction, Classics, History, Biography, Memoir",2741134,4.15
gr_170448.Animal_Farm,Animal Farm,"George Orwell, Russell Baker, C.M. Woodhouse","Classics, Fiction, Dystopia, Fantasy, Literature",2740713,3.95
gr_15881.Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré","Fantasy, Young Adult, Fiction, Magic, Childrens",2725847,4.43
gr_960.Angels_Demons,Angels & Demons,Dan Brown,"Fiction, Mystery, Thriller, Suspense, Mystery Thriller",2675792,3.9
gr_2429135.The_Girl_with_the_Dragon_Tattoo,The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland","Fiction, Mystery, Suspense, Contemporary, Adult",2607860,4.14
gr_6.Harry_Potter_and_the_Goblet_of_Fire,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré","Fantasy, Young Adult, Fiction, Magic, Childrens",2594622,4.56
gr_6148028-catching-fire,Catching Fire,Suzanne Collins,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction",2514084,4.29
gr_2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré","Fantasy, Young Adult, Fiction, Magic, Childrens",2507623,4.5
gr_1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince,J.K. Rowling,"Fantasy, Young Adult, Fiction, Magic, Childrens",2437658,4.57
gr_77203.The_Kite_Runner,The Kite Runner,"Khaled Hosseini, Berliani M. Nugrahani","Fiction, Historical Fiction, Contemporary, Classics, Novels",2424976,4.3
gr_19288043-gone-girl,Gone Girl,Gillian Flynn,"Fiction, Mystery, Thriller, Crime, Mystery Thriller",2329146,4.08
gr_7624.Lord_of_the_Flies,Lord of the Flies,William Golding,"Classics, Fiction, Young Adult, School, Literature",2263259,3.69
gr_4667024-the-help,The Help,Kathryn Stockett,"Fiction, Historical Fiction, Historical, Adult, Adult Fiction",2164011,4.47
gr_100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe",C.S. Lewis,"Fantasy, Classics, Fiction, Young Adult, Childrens",2127972,4.22
gr_22557272-the-girl-on-the-train,The Girl on the Train,Paula Hawkins,"Fiction, Mystery, Thriller, Crime, Mystery Thriller",2111336,3.93
gr_18144590-the-alchemist,The Alchemist,"Paulo Coelho, Alan R. Clarke, James Noel Smith","Fiction, Classics, Fantasy, Philosophy, Novels",2107732,3.88
gr_18135.Romeo_and_Juliet,Romeo and Juliet,"William Shakespeare, Paul Werstine, Barbara A. Mowat, Paavo Emil Cajander","Classics, Plays, Fiction, Romance, School",2055102,3.75
gr_13496.A_Game_of_Thrones,A Game of Thrones,George R.R. Martin,"Fantasy, Fiction, Epic Fantasy, Adult, Science Fiction Fantasy",2003043,4.45
gr_10818853-fifty-shades-of-grey,Fifty Shades of Grey,E.L. James,"Romance, Fiction, Erotica, Adult, BDSM",1946452,3.66
gr_890.Of_Mice_and_Men,Of Mice and Men,John Steinbeck,"Classics, Fiction, School, Historical Fiction, Literature",1942168,3.88
gr_968.The_Da_Vinci_Code,The Da Vinci Code,Dan Brown,"Fiction, Mystery, Thriller, Suspense, Mystery Thriller",1933446,3.86
gr_929.Memoirs_of_a_Geisha,Memoirs of a Geisha,Arthur Golden,"Fiction, Historical Fiction, Romance, Historical, Classics",1717312,4.12
gr_1934.Little_Women,Little Women,Louisa May Alcott,"Classics, Fiction, Historical Fiction, Young Adult, Romance",1681583,4.09
gr_13079982-fahrenheit-451,Fahrenheit 451,Ray Bradbury,"Classics, Fiction, Science Fiction, Dystopia, School",1680139,3.99
gr_10210.Jane_Eyre,Jane Eyre,"Charlotte Brontë, Michael Mason, Barnett Freedman","Classics, Fiction, Romance, Historical Fiction, Literature",1624682,4.13
gr_256683.City_of_Bones,City of Bones,Cassandra Clare,"Fantasy, Young Adult, Paranormal, Romance, Urban Fantasy",1617465,4.1
gr_18619684-the-time-traveler-s-wife,The Time Traveler's Wife,Audrey Niffenegger,"Fiction, Romance, Fantasy, Time Travel, Science Fiction",1573857,3.97
gr_19501.Eat_Pray_Love,"Eat, Pray, Love",Elizabeth Gilbert,"Nonfiction, Memoir, Travel, Biography, Chick Lit",1474731,3.57
gr_38447.The_Handmaid_s_Tale,The Handmaid's Tale,Margaret Atwood,"Fiction, Classics, Dystopia, Science Fiction, Feminism",1459245,4.11
gr_5129.Brave_New_World,Brave New World,Aldous Huxley,"Classics, Fiction, Science Fiction, Dystopia, Literature",1441287,3.99
gr_386162.The_Hitchhiker_s_Guide_to_the_Galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Science Fiction, Fiction, Humor, Fantasy, Classics",1436325,4.22
gr_428263.Eclipse,Eclipse,Stephenie Meyer,"Young Adult, Fantasy, Romance, Vampires, Fiction",1424531,3.7
gr_24178.Charlotte_s_Web,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells (Illustrations)","Classics, Childrens, Fiction, Young Adult, Fantasy",1417302,4.17
gr_43641.Water_for_Elephants,Water for Elephants,Sara Gruen,"Fiction, Historical Fiction, Romance, Historical, Adult",1379584,4.09
gr_157993.The_Little_Prince,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Ivan Minatti, Nguyễn Thành Vũ","Classics, Fiction, Fantasy, Childrens, France",1363048,4.31
gr_6185.Wuthering_Heights,Wuthering Heights,"Emily Brontë, Richard J. Dunn, David Timson, Charlotte Brontë (Commentary), Robert Heindel","Classics, Fiction, Romance, Gothic, Literature",1342664,3.86
gr_4214.Life_of_Pi,Life of Pi,Yann Martel,"Fiction, Fantasy, Classics, Adventure, Contemporary",1339076,3.91
gr_33648131-the-notebook,The Notebook,Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Adult",1331152,4.11
gr_1162543.Breaking_Dawn,Breaking Dawn,Stephenie Meyer,"Young Adult, Fantasy, Romance, Vampires, Fiction",1323975,3.7
gr_119322.The_Golden_Compass,The Golden Compass,Philip Pullman,"Fantasy, Young Adult, Fiction, Childrens, Adventure",1284131,3.99
gr_35031085-frankenstein,Frankenstein: The 1818 Text,"Mary Wollstonecraft Shelley, Charlotte Gordon","Classics, Fiction, Horror, Science Fiction, Gothic",1162638,3.81
gr_2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell (Notes), John Seelye, Walter Trier (Ilustrator)","Classics, Fiction, Historical Fiction, Literature, Young Adult",1151767,3.82
gr_128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,Khaled Hosseini,"Fiction, Historical Fiction, Contemporary, Novels, Historical",1151288,4.38
gr_17347634-me-before-you,Me Before You,Jojo Moyes,"Romance, Fiction, Contemporary, Chick Lit, Adult",1148863,4.26
gr_375802.Ender_s_Game,Ender's Game,"Orson Scott Card, Stefan Rudnicki, Harlan Ellison","Science Fiction, Fiction, Young Adult, Fantasy, Classics",1131303,4.3
gr_4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Classics, Fiction, Science Fiction, War, Historical Fiction",1129210,4.08
gr_11588.The_Shining,The Shining,Stephen King,"Horror, Fiction, Thriller, Classics, Fantasy",1126760,4.23
gr_99561.Looking_for_Alaska,Looking for Alaska,John Green,"Young Adult, Fiction, Contemporary, Romance, Realistic Fiction",1113222,4.02
gr_18405.Gone_with_the_Wind,Gone with the Wind,Margaret Mitchell,"Classics, Historical Fiction, Fiction, Romance, Historical",1074620,4.3
gr_10917.My_Sister_s_Keeper,My Sister's Keeper,Jodi Picoult,"Fiction, Contemporary, Chick Lit, Young Adult, Drama",1056676,4.08
gr_6186357-the-maze-runner,The Maze Runner,James Dashner,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy",1056076,4.03
gr_33574273-a-wrinkle-in-time,A Wrinkle in Time,Madeleine L'Engle,"Fantasy, Fiction, Classics, Young Adult, Science Fiction",1051535,4.0
gr_18143977-all-the-light-we-cannot-see,All the Light We Cannot See,Anthony Doerr,"Historical Fiction, Fiction, Historical, War, World War II",1024442,4.33
gr_9460487-miss-peregrine-s-home-for-peculiar-children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,"Fantasy, Young Adult, Fiction, Paranormal, Mystery",977080,3.91
gr_36809135-where-the-crawdads-sing,Where the Crawdads Sing,Delia Owens,"Fiction, Historical Fiction, Mystery, Audiobook, Adult",975284,4.47
gr_1617.Night,Night,"Elie Wiesel, Marion Wiesel, François Mauriac","Nonfiction, Classics, History, Memoir, Holocaust",970183,4.34
gr_38709.Holes,Holes,Louis Sachar,"Young Adult, Fiction, Childrens, Middle Grade, Realistic Fiction",969512,3.97
gr_5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides","Classics, Fiction, Horror, Fantasy, Literature",966196,4.08
gr_14935.Sense_and_Sensibility,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster","Classics, Fiction, Historical Fiction, Literature, Historical",957599,4.07
gr_11084145-steve-jobs,Steve Jobs,Walter Isaacson,"Biography, Nonfiction, Business, Technology, History",956505,4.14
gr_17245.Dracula,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal","Classics, Horror, Fiction, Fantasy, Vampires",938325,4.0
gr_6442769-paper-towns,Paper Towns,John Green,"Young Adult, Contemporary, Fiction, Romance, Mystery",919337,3.8
gr_370493.The_Giving_Tree,The Giving Tree,Shel Silverstein,"Childrens, Picture Books, Classics, Fiction, Poetry",905731,4.37
gr_10507293-the-selection,The Selection,Kiera Cass,"Young Adult, Romance, Dystopia, Fantasy, Fiction",892728,4.13
gr_2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,"Classics, Fiction, Childrens, Young Adult, Historical Fiction",891374,4.13
gr_227443.Bridget_Jones_s_Diary,Bridget Jones's Diary,"Helen Fielding, Хелен Филдинг","Fiction, Chick Lit, Romance, Humor, Contemporary",881406,3.78
gr_1845.Into_the_Wild,Into the Wild,Jon Krakauer,"Nonfiction, Biography, Travel, Adventure, Classics",878855,3.99
gr_1381.The_Odyssey,The Odyssey,"Homer, Robert Fagles, Bernard Knox","Classics, Fiction, Poetry, Mythology, Fantasy",861486,3.77
gr_15745753-eleanor-park,Eleanor & Park,Rainbow Rowell,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction",860151,4.05
gr_9418327-bossypants,Bossypants,Tina Fey,"Nonfiction, Memoir, Humor, Biography, Audiobook",848089,3.95
