id,name,artists,genre,popularity,total_artist_followers,avg_artist_popularity
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,"[""Mariah Carey""]",Pop,98.0,12195308.0,87.0
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,"[""Wham!""]",Pop,98.0,3205723.0,82.0
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,"[""Brenda Lee""]",Pop,98.0,486951.0,80.0
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,"[""Ariana Grande""]",Pop,96.0,108481053.0,95.0
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,"[""Dean Martin""]",Jazz,95.0,1987523.0,82.0
5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,"[""Andy Williams""]",Pop,93.0,604559.0,80.0
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),"[""Nat King Cole""]",Pop,92.0,2580739.0,83.0
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,"[""Arctic Monkeys""]",Pop,92.0,32684490.0,87.0
5ASM6Qjiav2xPe7gRkQMsQ,Sleigh Ride,"[""The Ronettes""]",Pop,92.0,465267.0,79.0
7MXVkk9YMctZqd1Srtv4MB,Starboy,"[""The Weeknd"", ""Daft Punk""]",Electronic,91.0,126704296.0,89.5
3QIoEi8Enr9uHffwInGIsC,Please Come Home for Christmas - 2013 Remaster,"[""Eagles""]",Rock,90.0,12306127.0,80.0
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,"[""Gorillaz"", ""De La Soul""]",Hip-Hop,90.0,16115454.0,79.5
1zi7xx7UVEFkmKfv06H8x0,One Dance,"[""Drake"", ""Wizkid"", ""Kyla""]",Hip-Hop,90.0,114949706.0,84.0
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,"[""Fleetwood Mac""]",Rock,90.0,14272894.0,85.0
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,"[""The Killers""]",Rock,90.0,8122354.0,79.0
2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"[""Perry Como"", ""The Fontane Sisters"", ""Mitchell Ayres & His Orchestra""]",Pop,90.0,627130.0,73.66666666666667
2pnPe4pJtq7689i5ydzvJJ,Run Rudolph Run - Single Version,"[""Chuck Berry""]",Rock,90.0,2237333.0,74.0
4tHqQMWSqmL6YjXwsqthDI,Carol of the Bells,"[""John Williams""]",Classical,89.0,1632953.0,78.0
4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"[""Frank Sinatra"", ""B. Swanson Quartet""]",Jazz,89.0,8542159.0,79.5
0tgVpDi06FyKpA1z0VMD4v,Perfect,"[""Ed Sheeran""]",Pop,89.0,123790754.0,90.0
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,"[""Evanescence""]",Rock,89.0,6425100.0,78.0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,"[""Ed Sheeran""]",Pop,89.0,123790754.0,90.0
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,"[""Tears For Fears""]",Pop,89.0,4200188.0,76.0
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,"[""Tame Impala""]",Rock,89.0,9857195.0,86.0
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"[""Eminem"", ""Rihanna""]",Hip-Hop,88.0,176183677.0,92.0
4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","[""Pitbull"", ""AFROJACK"", ""Ne-Yo"", ""Nayer""]",Electronic,88.0,26682262.0,78.25
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,"[""Fleetwood Mac""]",Rock,88.0,14272894.0,85.0
5cF0dROlMOK5uNZtivgu50,Attention,"[""Charlie Puth""]",Pop,88.0,25592821.0,82.0
04vLj9QUXoKdRlsp3gkURo,Mele Kalikimaka (Merry Christmas),"[""Bing Crosby"", ""The Andrews Sisters""]",Pop,88.0,841582.0,79.0
1foCxQtxBweJtZmdxhEHVO,Santa Baby (with Henri René & His Orchestra),"[""Eartha Kitt"", ""Henri Ren\u00e9 and His Orchestra""]",Pop,88.0,219819.0,70.0
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,"[""Arctic Monkeys""]",Pop,88.0,32684490.0,87.0
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,"[""a-ha""]",Pop,88.0,2988728.0,74.0
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,"[""Lewis Capaldi""]",Pop,88.0,14199219.0,81.0
5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,"[""Arctic Monkeys""]",Pop,88.0,32684490.0,87.0
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,"[""Elvis Presley""]",Rock,88.0,11145700.0,82.0
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,"[""Ed Sheeran""]",Pop,87.0,123790754.0,90.0
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,"[""R.E.M.""]",Rock,87.0,5446183.0,74.0
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),"[""Calvin Harris"", ""Ellie Goulding""]",Electronic,87.0,36513652.0,83.5
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,"[""Drake""]",Hip-Hop,87.0,104983712.0,98.0
3YZE5qDV7u1ZD1gZc47ZeR,Underneath the Tree,"[""Kelly Clarkson""]",Pop,87.0,11021194.0,84.0
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,"[""AC/DC""]",Rock,87.0,32748677.0,83.0
6ECp64rv50XVz93WvxXMGF,This Love,"[""Maroon 5""]",Pop,87.0,46281947.0,88.0
2374M0fQpWi3dLnB54qaLX,Africa,"[""TOTO""]",Rock,87.0,3815757.0,76.0
6LxSe8YmdPxy095Ux6znaQ,Headlines,"[""Drake""]",Hip-Hop,87.0,104983712.0,98.0
0JXXNGljqupsJaZsgSbMZV,Sure Thing,"[""Miguel""]",R&B,87.0,6250250.0,81.0
6VObnIkLVruX4UVyxWhlqm,Skyfall,"[""Adele""]",Pop,87.0,67751201.0,85.0
1LzNfuep1bnAUR9skqdHCK,Fade Into You,"[""Mazzy Star""]",Rock,87.0,1890621.0,73.0
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,"[""Red Hot Chili Peppers""]",Rock,87.0,23541073.0,85.0
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,"[""Coldplay""]",Rock,87.0,61694938.0,90.0
0oPdaY4dXtc3ZsaG17V972,Feliz Navidad,"[""Jos\u00e9 Feliciano""]",Pop,87.0,473824.0,77.0
3PIDciSFdrQxSQSihim3hN,Christmas (Baby Please Come Home),"[""Mariah Carey""]",Pop,86.0,12195308.0,87.0
18lR4BzEs7e3qzc0KVkTpU,What I've Done,"[""Linkin Park""]",Rock,86.0,32504225.0,90.0
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,"[""Red Hot Chili Peppers""]",Rock,86.0,23541073.0,85.0
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,"[""System Of A Down""]",Rock,86.0,14360441.0,83.0
4EWCNWgDS8707fNSZ1oaA5,Heartless,"[""Kanye West""]",Hip-Hop,86.0,31538631.0,92.0
5hM5arv9KDbCHS0k9uqwjr,Borderline,"[""Tame Impala""]",Rock,86.0,9857195.0,86.0
3U4isOIWM3VvDubwSI3y7a,All of Me,"[""John Legend""]",Pop,86.0,8191816.0,79.0
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,"[""Arctic Monkeys""]",Pop,86.0,32684490.0,87.0
7xoUc6faLbCqZO6fQEYprd,One Last Time,"[""Ariana Grande""]",Pop,86.0,108481053.0,95.0
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,"[""Avicii""]",Electronic,86.0,23501503.0,81.0
0SiywuOBRcynK0uKGWdCnn,Bad Romance,"[""Lady Gaga""]",Pop,86.0,43484481.0,90.0
4gbVRS8gloEluzf0GzDOFc,Maps,"[""Maroon 5""]",Pop,86.0,46281947.0,88.0
48QmG1dfvMuYLxMPt7KSRA,No Lie,"[""Sean Paul"", ""Dua Lipa""]",Folk,86.0,52624997.0,86.0
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,"[""Sam Smith""]",Pop,86.0,26562844.0,84.0
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"[""Ariana Grande""]",Pop,86.0,108481053.0,95.0
48UPSzbZjgc449aqz8bxox,Californication,"[""Red Hot Chili Peppers""]",Rock,86.0,23541073.0,85.0
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,"[""James Arthur""]",Pop,86.0,21061866.0,81.0
6I9VzXrHxO9rA9A5euc8Ak,Toxic,"[""Britney Spears""]",Pop,86.0,18130415.0,84.0
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,"[""Nickelback""]",Rock,86.0,7969535.0,80.0
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,"[""JAY-Z"", ""Alicia Keys""]",Hip-Hop,86.0,23638140.0,83.0
2VxeLyX666F8uXCJ0dZF8B,Shallow,"[""Lady Gaga"", ""Bradley Cooper""]",Pop,85.0,43783869.0,80.0
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,"[""Christina Perri""]",Pop,85.0,4351910.0,74.0
5cZqsjVs6MevCnAkasbEOX,Break Stuff,"[""Limp Bizkit""]",Rock,85.0,8453061.0,81.0
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,"[""Foo Fighters""]",Rock,85.0,13120637.0,78.0
5ihS6UUlyQAfmp48eSkxuQ,Landslide,"[""Fleetwood Mac""]",Rock,85.0,14272894.0,85.0
7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,"[""King Von""]",Hip-Hop,85.0,8280096.0,79.0
6DCZcSspjsKoFjzjrWoCdn,God's Plan,"[""Drake""]",Hip-Hop,85.0,104983712.0,98.0
0ct6r3EGTcMLPtrXHDvVjc,The Nights,"[""Avicii""]",Electronic,85.0,23501503.0,81.0
4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,"[""Maroon 5""]",Pop,85.0,46281947.0,88.0
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,"[""Red Hot Chili Peppers""]",Rock,85.0,23541073.0,85.0
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,"[""The White Stripes""]",Rock,85.0,3587667.0,71.0
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,"[""Eurythmics"", ""Annie Lennox"", ""Dave Stewart""]",Electronic,85.0,4243244.0,70.33333333333333
49FYlytm3dAAraYgpoJZux,Umbrella,"[""Rihanna"", ""JAY-Z""]",Hip-Hop,85.0,80845947.0,89.0
6epn3r7S14KUqlReYr77hA,Baby,"[""Justin Bieber"", ""Ludacris""]",Hip-Hop,85.0,89392408.0,86.5
5aDoUmxBsbdpS16alksb5Z,Do You Hear What I Hear? - Remastered 2006,"[""Bing Crosby""]",Pop,85.0,615333.0,84.0
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,"[""Chris Stapleton""]",Country,85.0,9189545.0,83.0
0snQkGI5qnAmohLE7jTsTn,Toxicity,"[""System Of A Down""]",Rock,85.0,14360441.0,83.0
4U45aEWtQhrm8A5mxPaFZ7,Vienna,"[""Billy Joel""]",Rock,85.0,7572420.0,80.0
46pF1zFimM582ss1PrMy68,Christmas (Baby Please Come Home),"[""Darlene Love""]",Pop,85.0,71843.0,77.0
5xDrO9DEDJGUQGfyoHvgDJ,Last Christmas,"[""Ariana Grande""]",Pop,85.0,108481053.0,95.0
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,"[""KISS""]",Rock,85.0,11208153.0,74.0
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,"[""Lady Gaga""]",Pop,85.0,43484481.0,90.0
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,"[""Kendrick Lamar""]",Hip-Hop,85.0,45507428.0,91.0
64BbK9SFKH2jk86U3dGj2P,Otherside,"[""Red Hot Chili Peppers""]",Rock,85.0,23541073.0,85.0
69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,"[""Coldplay""]",Rock,85.0,61694938.0,90.0
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,"[""The Verve""]",Pop,85.0,2793266.0,71.0
6qn9YLKt13AGvpq9jfO8py,We Found Love,"[""Rihanna"", ""Calvin Harris""]",Electronic,85.0,93433710.0,89.5
6ic8OlLUNEATToEFU3xmaH,Gimme More,"[""Britney Spears""]",Pop,85.0,18130415.0,84.0
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,"[""Ed Sheeran""]",Pop,85.0,123790754.0,90.0
4Yf5bqU3NK4kNOypcrLYwU,Faint,"[""Linkin Park""]",Rock,85.0,32504225.0,90.0
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,"[""Lil Peep"", ""XXXTENTACION""]",Hip-Hop,85.0,68279836.0,85.0
5xlS0QkVrSH7ssEbBgBzbM,Little Saint Nick - 1991 Remix,"[""The Beach Boys""]",Classical,85.0,5139194.0,76.0
0uxSUdBrJy9Un0EYoBowng,20 Min,"[""Lil Uzi Vert""]",Hip-Hop,85.0,19494232.0,85.0
48RrDBpOSSl1aLVCalGl5C,The Monster,"[""Eminem"", ""Rihanna""]",Hip-Hop,84.0,176183677.0,92.0
4lH6nENd1y81jp7Yt9lTBX,Solo,"[""Future""]",Hip-Hop,84.0,23137739.0,91.0
7KwZNVEaqikRSBSpyhXK2j,Hypnotize - 2014 Remaster,"[""The Notorious B.I.G.""]",Hip-Hop,84.0,13030963.0,79.0
42T2QQv3xgBlpQxaSP7lnK,One Last Breath,"[""Creed""]",Rock,84.0,4421497.0,76.0
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,"[""Linkin Park""]",Rock,84.0,32504225.0,90.0
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,"[""Britney Spears""]",Pop,84.0,18130415.0,84.0
503OTo2dSqe7qk76rgsbep,Still D.R.E.,"[""Dr. Dre"", ""Snoop Dogg""]",Hip-Hop,84.0,31431553.0,81.5
0k2GOhqsrxDTAbFFSdNJjT,Temperature,"[""Sean Paul""]",Folk,84.0,5365798.0,84.0
58ge6dfP91o9oXMzq3XkIS,505,"[""Arctic Monkeys""]",Rock,84.0,32684490.0,87.0
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,"[""Kendrick Lamar"", ""Zacari""]",Hip-Hop,84.0,45637814.0,79.0
5kqIPrATaCc2LqxVWzQGbk,7 Years,"[""Lukas Graham""]",Pop,84.0,3045937.0,72.0
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,"[""Outkast""]",Hip-Hop,84.0,3488861.0,76.0
4ukUoXLuFzMixyZyabSGc4,Sleigh Ride,"[""Ella Fitzgerald""]",Jazz,84.0,2757738.0,78.0
6pVW5LRWgeLaHudxauOTJU,Jingle Bell Rock - Daryl's Version,"[""Daryl Hall & John Oates""]",Pop,84.0,2910786.0,77.0
0JP9xo3adEtGSdUEISiszL,Moonlight,"[""XXXTENTACION""]",Hip-Hop,84.0,52252497.0,85.0
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),"[""Limp Bizkit""]",Rock,84.0,8453061.0,81.0
4e9eGQYsOiBcftrWXwsVco,Aerials,"[""System Of A Down""]",Rock,84.0,14360441.0,83.0
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,"[""Alicia Keys""]",R&B,84.0,13053953.0,81.0
38xhBO2AKrJnjdjVnhJES6,This Christmas,"[""Donny Hathaway""]",Blues,84.0,671351.0,70.0
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,"[""Ariana Grande"", ""The Weeknd""]",Pop,84.0,224166275.0,95.5
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,"[""Juice WRLD""]",Hip-Hop,84.0,43302258.0,88.0
0Ie5uiv54KgCr7P4sYDTHl,Baby It's Cold Outside (duet with Michael Bublé),"[""Idina Menzel"", ""Michael Bubl\u00e9""]",Classical,84.0,7567360.0,82.5
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,"[""The Clash""]",Rock,84.0,3235165.0,72.0
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,"[""Marvin Gaye"", ""Tammi Terrell""]",R&B,84.0,6309090.0,71.0
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,"[""Fleetwood Mac""]",Rock,84.0,14272894.0,85.0
